iteration,worker,time
0,0,5519116
1,0,33408
2,0,39646
3,0,40364
4,0,43186
5,0,40682
6,0,40284
7,0,40881
8,0,41189
9,0,40999
10,0,40603
0,1,40603
1,1,51438
2,1,41239
3,1,41504
4,1,41778
5,1,40404
6,1,40757
7,1,41093
8,1,40713
9,1,41109
10,1,39875
