iteration,worker,time
0,0,693835
1,0,515364
2,0,1023844
3,0,1015310
4,0,1007464
5,0,1005456
6,0,1020576
7,0,1015135
8,0,1015247
9,0,1019598
10,0,1016151
0,1,1016151
1,1,1030064
2,1,1019586
3,1,1007261
4,1,1006436
5,1,1012250
6,1,1020996
7,1,1015260
8,1,1020631
9,1,1014415
10,1,1008020
