iteration,worker,time
0,0,1216943
1,0,27727
2,0,55334
3,0,55499
4,0,55842
5,0,57645
6,0,58399
7,0,56487
8,0,55398
9,0,54629
10,0,54087
0,1,54087
1,1,55204
2,1,55642
3,1,55462
4,1,56348
5,1,59816
6,1,55122
7,1,57227
8,1,54850
9,1,54398
10,1,54344
