iteration,worker,time
0,0,246257
1,0,145696
2,0,101454
3,0,99232
4,0,99484
5,0,99822
6,0,99771
7,0,100217
8,0,100842
9,0,101959
10,0,101467
0,1,101467
1,1,103386
2,1,100997
3,1,99706
4,1,99341
5,1,100527
6,1,100011
7,1,99403
8,1,100662
9,1,100590
10,1,102656
