iteration,worker,time
0,0,1018529
1,0,28091
2,0,54176
3,0,56474
4,0,55461
5,0,54457
6,0,54169
7,0,55070
8,0,53737
9,0,54225
10,0,53644
0,1,53644
1,1,54735
2,1,53684
3,1,58488
4,1,54240
5,1,54614
6,1,54352
7,1,54713
8,1,54274
9,1,53575
10,1,53479
