[0;90m2024-10-11 14:14:45.447 [0;1;93m[Warning][m: IPC channel still there, doing an unlink of server-user-0-function-0
[0;90m2024-10-11 14:14:45.447 [0;1;96m[ Debug ][m: Application registered management segment 0x794288340000 with size 65796264 to id 1
[0;90m2024-10-11 14:14:45.448 [0;1;96m[ Debug ][m: Application registered payload data segment 0x794111138000 with size 6293584200 to id 2
[2024-10-11 14:14:45.448] [error] Enabling use of VMM-based allocations in CUDA!
[2024-10-11 14:14:45.531] [error] Message from the orchestrator! Code 1
[2024-10-11 14:14:45.531] [info] [ExecutionStatus] CPU execution!
[2024-10-11 14:14:45.531] [error] Message from the orchestrator! Code 3
[2024-10-11 14:14:45.531] [info] [ExecutionStatus] Full execution!
[2024-10-11 14:14:45.908] [error] Total size 0.0 0
[2024-10-11 14:14:45.908] [error] Total size 0.0 0
[2024-10-11 14:14:45.908] [error] Total size 2.0 0
[2024-10-11 14:14:45.908] [error] Total size 2.0 0
[2024-10-11 14:14:45.908] [error] Total size 2.0 0
[2024-10-11 14:14:45.908] [error] Total size 2.0 0
[2024-10-11 14:14:45.908] [error] Total size 2.0 0
[2024-10-11 14:14:45.908] [error] Total size 2.0 0
[2024-10-11 14:14:45.908] [error] Total size 2.0 0
[2024-10-11 14:14:45.908] [error] Total size 2.0 0
[2024-10-11 14:14:45.908] [error] Total size 2.0 0
[2024-10-11 14:14:45.908] [error] Total size 2.0 0
[2024-10-11 14:14:45.908] [error] Total size 2.0 0
[2024-10-11 14:14:45.908] [error] Total size 2.0 0
[2024-10-11 14:14:45.908] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.909] [error] Total size 2.0 0
[2024-10-11 14:14:45.910] [error] Total size 2.0 0
[2024-10-11 14:14:45.910] [error] Total size 2.0 0
[2024-10-11 14:14:45.910] [error] Total size 2.0 0
[2024-10-11 14:14:45.910] [error] Total size 2.0 0
[2024-10-11 14:14:45.910] [error] Total size 2.0 0
[2024-10-11 14:14:45.910] [error] Total size 2.0 0
[2024-10-11 14:14:45.910] [error] Total size 2.0 0
[2024-10-11 14:14:45.910] [error] Total size 2.0 0
[2024-10-11 14:14:45.910] [error] Total size 2.0 0
[2024-10-11 14:14:45.910] [error] Total size 2.0 0
[2024-10-11 14:14:45.910] [error] Total size 2.0 0
[2024-10-11 14:14:45.910] [error] Total size 2.0 0
[2024-10-11 14:14:45.910] [error] Total size 2.0 0
[2024-10-11 14:14:45.910] [error] Total size 2.0 0
[2024-10-11 14:14:45.910] [error] Total size 2.0 0
[2024-10-11 14:14:45.910] [error] Total size 2.0 0
[2024-10-11 14:14:45.910] [error] Total size 2.0 0
[2024-10-11 14:14:45.910] [error] Total size 2.0 0
[2024-10-11 14:14:45.910] [error] Total size 4.0 0
[2024-10-11 14:14:45.911] [error] Total size 4.0 0
[2024-10-11 14:14:45.911] [error] Total size 4.0 0
[2024-10-11 14:14:45.911] [error] Total size 4.0 0
[2024-10-11 14:14:45.911] [error] Total size 4.0 0
[2024-10-11 14:14:45.911] [error] Total size 4.0 0
[2024-10-11 14:14:45.911] [error] Total size 4.0 0
[2024-10-11 14:14:45.911] [error] Total size 4.0 0
[2024-10-11 14:14:45.911] [error] Total size 4.0 0
[2024-10-11 14:14:45.911] [error] Total size 4.0 0
[2024-10-11 14:14:45.911] [error] Total size 4.0 0
[2024-10-11 14:14:45.911] [error] Total size 4.0 0
[2024-10-11 14:14:45.911] [error] Total size 4.0 0
[2024-10-11 14:14:45.911] [error] Total size 4.0 0
[2024-10-11 14:14:45.911] [error] Total size 4.0 0
[2024-10-11 14:14:45.911] [error] Total size 4.0 0
[2024-10-11 14:14:45.911] [error] Total size 4.0 0
