iteration,worker,time
0,0,738572
1,0,529693
2,0,520381
3,0,524997
4,0,529519
5,0,526672
6,0,523969
7,0,519135
8,0,525757
9,0,523473
10,0,527949
0,1,527949
1,1,588109
2,1,520166
3,1,525832
4,1,532910
5,1,524998
6,1,522173
7,1,518640
8,1,525497
9,1,524168
10,1,529222
