iteration,worker,time
0,0,894442
1,0,27221
2,0,26302
3,0,27169
4,0,26014
5,0,26051
6,0,25559
7,0,28109
8,0,25568
9,0,25729
10,0,25406
0,1,25406
1,1,27937
2,1,26378
3,1,27291
4,1,25962
5,1,26156
6,1,25608
7,1,27976
8,1,25672
9,1,25587
10,1,25434
