iteration,worker,time
0,0,9424720
1,0,34775
2,0,67995
3,0,67502
4,0,68168
5,0,66988
6,0,65601
7,0,66337
8,0,66008
9,0,66243
10,0,72269
0,1,72269
1,1,68793
2,1,67968
3,1,67501
4,1,67985
5,1,65893
6,1,65773
7,1,66474
8,1,65974
9,1,69267
10,1,69166
