iteration,worker,time
0,0,1230959
1,0,25976
2,0,49980
3,0,50463
4,0,50823
5,0,50500
6,0,50147
7,0,49744
8,0,50869
9,0,50601
10,0,50985
0,1,50985
1,1,50994
2,1,49841
3,1,51128
4,1,50372
5,1,50609
6,1,49891
7,1,50491
8,1,50699
9,1,50701
10,1,49466
