iteration,worker,time
0,0,1674564
1,0,28116
2,0,28421
3,0,29051
4,0,27968
5,0,29328
6,0,27680
7,0,27516
8,0,28787
9,0,27936
10,0,28426
0,1,28426
1,1,32632
2,1,28521
3,1,28838
4,1,29943
5,1,28135
6,1,27108
7,1,27062
8,1,28872
9,1,29023
10,1,27323
