iteration,worker,time
0,0,6047529
1,0,35453
2,0,47923
3,0,46866
4,0,46282
5,0,45474
6,0,47161
7,0,45581
8,0,45602
9,0,46436
10,0,46304
0,1,46304
1,1,59004
2,1,47743
3,1,46685
4,1,46099
5,1,45984
6,1,46380
7,1,45522
8,1,46369
9,1,45940
10,1,46205
