[0;90m2024-10-11 14:15:56.784 [0;1;93m[Warning][m: IPC channel still there, doing an unlink of server-user-0-function-0
[0;90m2024-10-11 14:15:56.784 [0;1;96m[ Debug ][m: Application registered management segment 0x747e25340000 with size 65796264 to id 1
[0;90m2024-10-11 14:15:56.785 [0;1;96m[ Debug ][m: Application registered payload data segment 0x747cae138000 with size 6293584200 to id 2
[2024-10-11 14:15:56.785] [error] Enabling use of VMM-based allocations in CUDA!
[2024-10-11 14:15:56.871] [error] Message from the orchestrator! Code 1
[2024-10-11 14:15:56.871] [info] [ExecutionStatus] CPU execution!
[2024-10-11 14:15:56.871] [error] Message from the orchestrator! Code 3
[2024-10-11 14:15:56.871] [info] [ExecutionStatus] Full execution!
[2024-10-11 14:16:00.929] [error] Total size 194.0 0
[2024-10-11 14:16:00.929] [error] Total size 194.0 0
[2024-10-11 14:16:00.929] [error] Total size 194.0 0
[2024-10-11 14:16:00.929] [error] Total size 210.0 0
[2024-10-11 14:16:00.938] [error] Total size 210.0 0
[2024-10-11 14:16:00.939] [error] Total size 210.0 0
[2024-10-11 14:16:00.939] [error] Total size 226.0 0
[2024-10-11 14:16:00.949] [error] Total size 226.0 0
[2024-10-11 14:16:00.949] [error] Total size 226.0 0
[2024-10-11 14:16:00.949] [error] Total size 226.0 0
[2024-10-11 14:16:00.949] [error] Total size 226.0 0
[2024-10-11 14:16:00.951] [error] Total size 226.0 0
[2024-10-11 14:16:00.952] [error] Total size 226.0 0
[2024-10-11 14:16:00.952] [error] Total size 246.0 0
[2024-10-11 14:16:00.953] [error] Total size 246.0 0
[2024-10-11 14:16:00.954] [error] Total size 246.0 0
[2024-10-11 14:16:00.955] [error] Total size 246.0 0
[2024-10-11 14:16:00.956] [error] Total size 246.0 0
[2024-10-11 14:16:00.958] [error] Total size 246.0 0
[2024-10-11 14:16:00.958] [error] Total size 246.0 0
[2024-10-11 14:16:00.958] [error] Total size 246.0 0
[2024-10-11 14:16:00.958] [error] Total size 246.0 0
[2024-10-11 14:16:00.958] [error] Total size 262.0 0
[2024-10-11 14:16:00.966] [error] Total size 262.0 0
[2024-10-11 14:16:00.966] [error] Total size 262.0 0
[2024-10-11 14:16:00.967] [error] Total size 278.0 0
[2024-10-11 14:16:00.975] [error] Total size 278.0 0
[2024-10-11 14:16:00.975] [error] Total size 278.0 0
[2024-10-11 14:16:00.975] [error] Total size 278.0 0
[2024-10-11 14:16:00.975] [error] Total size 278.0 0
[2024-10-11 14:16:00.977] [error] Total size 278.0 0
[2024-10-11 14:16:00.977] [error] Total size 278.0 0
[2024-10-11 14:16:00.979] [error] Total size 278.0 0
[2024-10-11 14:16:00.979] [error] Total size 278.0 0
[2024-10-11 14:16:00.979] [error] Total size 298.0 0
[2024-10-11 14:16:00.981] [error] Total size 298.0 0
[2024-10-11 14:16:00.982] [error] Total size 298.0 0
[2024-10-11 14:16:00.983] [error] Total size 298.0 0
[2024-10-11 14:16:00.984] [error] Total size 298.0 0
[2024-10-11 14:16:00.984] [error] Total size 298.0 0
[2024-10-11 14:16:00.984] [error] Total size 298.0 0
[2024-10-11 14:16:00.984] [error] Total size 314.0 0
[2024-10-11 14:16:00.992] [error] Total size 314.0 0
[2024-10-11 14:16:00.993] [error] Total size 314.0 0
[2024-10-11 14:16:00.993] [error] Total size 330.0 0
[2024-10-11 14:16:01.001] [error] Total size 330.0 0
[2024-10-11 14:16:01.002] [error] Total size 330.0 0
[2024-10-11 14:16:01.002] [error] Total size 330.0 0
[2024-10-11 14:16:01.002] [error] Total size 330.0 0
[2024-10-11 14:16:01.004] [error] Total size 330.0 0
[2024-10-11 14:16:01.004] [error] Total size 330.0 0
[2024-10-11 14:16:01.006] [error] Total size 330.0 0
[2024-10-11 14:16:01.006] [error] Total size 330.0 0
[2024-10-11 14:16:01.009] [error] Total size 330.0 0
[2024-10-11 14:16:01.009] [error] Total size 330.0 0
[2024-10-11 14:16:01.009] [error] Total size 350.0 0
[2024-10-11 14:16:01.011] [error] Total size 350.0 0
[2024-10-11 14:16:01.011] [error] Total size 350.0 0
[2024-10-11 14:16:01.011] [error] Total size 350.0 0
[2024-10-11 14:16:01.011] [error] Total size 350.0 0
[2024-10-11 14:16:01.020] [error] Total size 350.0 0
[2024-10-11 14:16:01.020] [error] Total size 350.0 0
[2024-10-11 14:16:01.020] [error] Total size 366.0 0
[2024-10-11 14:16:01.028] [error] Total size 366.0 0
[2024-10-11 14:16:01.029] [error] Total size 366.0 0
[2024-10-11 14:16:01.029] [error] Total size 366.0 0
[2024-10-11 14:16:01.029] [error] Total size 366.0 0
[2024-10-11 14:16:01.029] [error] Total size 386.0 0
[2024-10-11 14:16:01.031] [error] Total size 386.0 0
[2024-10-11 14:16:01.032] [error] Total size 386.0 0
[2024-10-11 14:16:01.033] [error] Total size 386.0 0
[2024-10-11 14:16:01.034] [error] Total size 386.0 0
[2024-10-11 14:16:01.035] [error] Total size 386.0 0
[2024-10-11 14:16:01.036] [error] Total size 386.0 0
[2024-10-11 14:16:01.037] [error] Total size 386.0 0
[2024-10-11 14:16:01.038] [error] Total size 386.0 0
[2024-10-11 14:16:01.038] [error] Total size 386.0 0
[2024-10-11 14:16:01.038] [error] Total size 386.0 0
[2024-10-11 14:16:01.038] [error] Total size 402.0 0
[2024-10-11 14:16:01.046] [error] Total size 402.0 0
[2024-10-11 14:16:01.046] [error] Total size 402.0 0
[2024-10-11 14:16:01.047] [error] Total size 418.0 0
[2024-10-11 14:16:01.055] [error] Total size 418.0 0
[2024-10-11 14:16:01.055] [error] Total size 418.0 0
[2024-10-11 14:16:01.055] [error] Total size 418.0 0
[2024-10-11 14:16:01.055] [error] Total size 418.0 0
[2024-10-11 14:16:01.057] [error] Total size 418.0 0
[2024-10-11 14:16:01.058] [error] Total size 418.0 0
[2024-10-11 14:16:01.058] [error] Total size 438.0 0
[2024-10-11 14:16:01.059] [error] Total size 438.0 0
[2024-10-11 14:16:01.060] [error] Total size 438.0 0
[2024-10-11 14:16:01.061] [error] Total size 438.0 0
[2024-10-11 14:16:01.062] [error] Total size 438.0 0
[2024-10-11 14:16:01.064] [error] Total size 438.0 0
[2024-10-11 14:16:01.064] [error] Total size 438.0 0
[2024-10-11 14:16:01.064] [error] Total size 438.0 0
[2024-10-11 14:16:01.064] [error] Total size 438.0 0
[2024-10-11 14:16:01.064] [error] Total size 454.0 0
[2024-10-11 14:16:01.072] [error] Total size 454.0 0
[2024-10-11 14:16:01.073] [error] Total size 454.0 0
[2024-10-11 14:16:01.073] [error] Total size 470.0 0
[2024-10-11 14:16:01.082] [error] Total size 470.0 0
[2024-10-11 14:16:01.082] [error] Total size 470.0 0
[2024-10-11 14:16:01.082] [error] Total size 470.0 0
[2024-10-11 14:16:01.082] [error] Total size 470.0 0
[2024-10-11 14:16:01.085] [error] Total size 470.0 0
[2024-10-11 14:16:01.085] [error] Total size 470.0 0
[2024-10-11 14:16:01.087] [error] Total size 470.0 0
[2024-10-11 14:16:01.087] [error] Total size 470.0 0
[2024-10-11 14:16:01.087] [error] Total size 490.0 0
[2024-10-11 14:16:01.089] [error] Total size 490.0 0
[2024-10-11 14:16:01.089] [error] Total size 490.0 0
[2024-10-11 14:16:01.091] [error] Total size 490.0 0
[2024-10-11 14:16:01.091] [error] Total size 490.0 0
[2024-10-11 14:16:01.091] [error] Total size 490.0 0
[2024-10-11 14:16:01.091] [error] Total size 490.0 0
[2024-10-11 14:16:01.091] [error] Total size 506.0 0
[2024-10-11 14:16:01.099] [error] Total size 506.0 0
[2024-10-11 14:16:01.100] [error] Total size 506.0 0
[2024-10-11 14:16:01.100] [error] Total size 522.0 0
[2024-10-11 14:16:01.108] [error] Total size 522.0 0
[2024-10-11 14:16:01.109] [error] Total size 522.0 0
[2024-10-11 14:16:01.109] [error] Total size 522.0 0
[2024-10-11 14:16:01.109] [error] Total size 522.0 0
[2024-10-11 14:16:01.111] [error] Total size 522.0 0
[2024-10-11 14:16:01.111] [error] Total size 522.0 0
[2024-10-11 14:16:01.113] [error] Total size 522.0 0
[2024-10-11 14:16:01.113] [error] Total size 522.0 0
[2024-10-11 14:16:01.115] [error] Total size 522.0 0
[2024-10-11 14:16:01.115] [error] Total size 522.0 0
[2024-10-11 14:16:01.116] [error] Total size 542.0 0
[2024-10-11 14:16:01.117] [error] Total size 542.0 0
[2024-10-11 14:16:01.118] [error] Total size 542.0 0
[2024-10-11 14:16:01.118] [error] Total size 542.0 0
[2024-10-11 14:16:01.118] [error] Total size 542.0 0
[2024-10-11 14:16:01.126] [error] Total size 542.0 0
[2024-10-11 14:16:01.126] [error] Total size 542.0 0
[2024-10-11 14:16:01.126] [error] Total size 558.0 0
[2024-10-11 14:16:01.134] [error] Total size 558.0 0
[2024-10-11 14:16:01.135] [error] Total size 558.0 0
[2024-10-11 14:16:01.135] [error] Total size 558.0 0
[2024-10-11 14:16:01.135] [error] Total size 558.0 0
